MFCC_Features,Emotion_Label
"[ 0.8113036   0.06530514 -1.0951754   1.0348752  -0.2647617  -2.483288
 -1.5542243  -1.2855445   0.70680344 -0.25036356  0.11537518  1.6897237
 -0.4249828 ]",Radosc
"[ 0.3009239  -0.8352367  -2.0014281   0.9378293   0.1195762  -1.680437
 -0.7919732  -2.0706565   1.2458215  -0.8135731  -1.6260835  -0.07445068
 -1.3193846 ]",Radosc
"[ 1.1532608  -0.3687706  -0.09397171 -1.0991911   0.19215982 -0.4014006
 -2.1096163  -0.38621536 -0.67399365  0.7676178  -0.3104481   0.20285583
  0.15667035]",Radosc
"[-0.7531467   0.11851698  0.41478407  1.1520606   0.7395136   1.315608
 -0.7738316  -0.43983117  0.64028084  0.64876646 -1.4752117   0.13289896
  0.21353854]",Radosc
"[ 0.8724004   0.6880938   0.5745384  -0.22726053  0.7096532  -0.2768551
 -0.5144772   0.14340067 -2.6765673   0.29308096 -1.7416184  -0.5239506
 -0.4057615 ]",Radosc
"[-1.8137071   0.35852578 -0.9660473   1.3831806   0.24764812 -1.0949892
 -1.8569628   0.11949533 -0.4461309   0.8172774  -0.88637966  0.7378182
  1.3070571 ]",Radosc
"[-0.65819395 -0.22464336  1.0323262   0.9739406   0.82404923  1.4249722
 -1.0368135  -1.1090944   0.66535896  0.55066466 -1.361412    1.2869874
 -0.26940545]",Radosc
"[ 1.597185    0.3983912   0.80255044 -1.6844449   0.06565097 -0.4697919
 -0.84268665 -0.7033587  -1.7932733   0.00702962 -0.8292885  -0.75069803
 -0.85979754]",Radosc
"[-1.2916781   0.8986378  -1.0548759  -0.2546584  -0.17013666 -0.6821744
 -1.8444161  -0.26723874 -0.19308904  1.3301834  -0.4367093  -0.3083324
  0.18160746]",Radosc
"[ 1.3508141  -0.18205664 -0.28667483 -0.08211904  0.5439959  -0.423198
 -0.8933932  -1.1696134  -0.6459519   1.3790529  -1.1491501   0.04482743
 -0.49001455]",Radosc
"[ 0.404445   -0.81496423 -1.5660222  -0.32638928  1.0930116  -1.7779069
 -1.1820146  -1.1128783   1.0097532  -1.1966852  -1.1314752   0.44890842
 -1.1474626 ]",Radosc
"[ 0.61516243  0.7536957   1.0807811  -2.1881588  -0.63633853  0.18660145
 -0.21573815 -0.3966472  -1.3569132   0.28552157  0.7801523   0.5998887
  0.00465341]",Radosc
"[ 1.5091681  -0.93558246 -0.4851095  -1.2521942  -0.7569439  -1.5327914
 -1.8324671   0.06025187 -1.7183518  -0.2471814   0.03561327 -1.4008552
 -0.07229144]",Radosc
